Date,인도 센섹스,상해종합,한국 코스피,브라질 보베스파,러시아,인도네시아
2000.1.31,,1535.00 ,943.88 ,,,
2000.2.29,,1714.58 ,828.38 ,,191.49 ,
2000.3.31,,1800.22 ,860.94 ,,254.68 ,
2000.4.30,,1836.32 ,725.39 ,,242.85 ,
2000.5.31,,1894.55 ,731.88 ,,217.05 ,
2000.6.30,,1928.11 ,821.22 ,,194.93 ,
2000.7.31,,2023.54 ,705.97 ,,200.22 ,257.55 
2000.8.31,,2021.20 ,688.62 ,,239.03 ,237.56 
2000.9.30,,1910.16 ,613.22 ,,204.61 ,211.25 
2000.10.31,,1961.29 ,514.48 ,,192.22 ,194.13 
2000.11.30,,2070.61 ,509.23 ,,149.84 ,218.97 
2000.12.31,,2073.48 ,504.62 ,15259.29 ,144.39 ,210.66 
2001.1.31,,2065.61 ,617.91 ,17672.77 ,167.74 ,218.07 
2001.2.28,,1959.18 ,578.10 ,15891.41 ,158.10 ,222.45 
2001.3.31,,2112.78 ,523.22 ,14438.45 ,166.67 ,191.02 
2001.4.30,,2119.18 ,577.36 ,14917.54 ,178.29 ,178.87 
2001.5.31,,2214.26 ,612.16 ,14649.98 ,207.71 ,205.83 
2001.6.30,,2218.03 ,595.13 ,14559.79 ,219.40 ,222.50 
2001.7.31,,1920.32 ,541.55 ,13754.16 ,200.64 ,233.96 
2001.8.31,,1834.14 ,545.11 ,12840.60 ,193.72 ,224.64 
2001.9.30,,1764.87 ,479.68 ,10635.74 ,167.33 ,193.78 
2001.10.31,,1689.17 ,537.81 ,11364.71 ,187.41 ,186.49 
2001.11.30,,1747.99 ,643.89 ,12931.71 ,213.32 ,190.68 
2001.12.31,,1645.97 ,693.70 ,13577.57 ,237.63 ,196.71 
2002.1.31,,1491.66 ,748.07 ,12721.45 ,260.77 ,241.79 
2002.2.28,,1524.70 ,819.99 ,14033.29 ,262.65 ,244.08 
2002.3.31,,1603.90 ,895.58 ,13254.55 ,302.96 ,261.29 
2002.4.30,,1667.75 ,842.34 ,13085.12 ,343.33 ,287.72 
2002.5.31,,1515.73 ,796.40 ,12861.43 ,333.61 ,286.71 
2002.6.30,,1732.76 ,742.72 ,11139.16 ,304.18 ,270.01 
2002.7.31,,1651.59 ,717.99 ,9762.59 ,281.81 ,249.21 
2002.8.31,,1666.62 ,736.40 ,10382.20 ,292.23 ,235.15 
2002.9.30,,1581.62 ,646.42 ,8622.54 ,289.96 ,220.96 
2002.10.31,,1507.50 ,658.92 ,10167.71 ,311.41 ,186.02 
2002.11.30,,1434.18 ,724.80 ,10508.81 ,321.41 ,203.05 
2002.12.31,,1357.65 ,627.55 ,11268.47 ,318.91 ,226.40 
2003.1.31,,1499.82 ,591.86 ,10941.09 ,307.78 ,195.89 
2003.2.28,,1511.93 ,575.43 ,10280.61 ,341.52 ,205.46 
2003.3.31,,1510.58 ,535.70 ,11273.63 ,325.56 ,206.01 
2003.4.30,,1521.44 ,599.35 ,12556.70 ,369.77 ,240.21 
2003.5.31,,1576.26 ,633.42 ,13421.60 ,421.08 ,269.73 
2003.6.30,,1486.02 ,669.93 ,12972.58 ,455.44 ,276.56 
2003.7.31,,1476.74 ,713.52 ,13571.73 ,430.30 ,269.43 
2003.8.31,,1421.98 ,759.47 ,15174.49 ,484.00 ,273.82 
2003.9.30,,1367.16 ,697.52 ,16010.67 ,515.17 ,321.79 
2003.10.31,,1348.30 ,782.36 ,17982.49 ,468.85 ,330.87 
2003.11.30,,1397.22 ,796.18 ,20183.97 ,484.73 ,328.17 
2003.12.31,,1497.04 ,810.71 ,22236.39 ,514.71 ,359.58 
2004.1.31,,1590.73 ,848.50 ,21851.44 ,551.72 ,398.14 
2004.2.29,,1675.07 ,883.42 ,21755.02 ,591.09 ,392.67 
2004.3.31,,1741.62 ,880.50 ,22142.26 ,644.64 ,381.68 
2004.4.30,,1595.59 ,862.84 ,19607.23 ,561.78 ,420.96 
2004.5.31,,1555.91 ,803.84 ,19544.67 ,535.40 ,401.22 
2004.6.30,,1399.16 ,785.79 ,21148.91 ,534.84 ,399.27 
2004.7.31,,1386.20 ,735.34 ,22336.87 ,502.81 ,410.73 
2004.8.31,,1342.06 ,803.57 ,22803.19 ,549.28 ,409.56 
2004.9.30,,1396.70 ,835.09 ,23245.24 ,611.03 ,445.97 
2004.10.31,,1320.54 ,834.84 ,23052.18 ,632.97 ,470.23 
2004.11.30,,1340.77 ,878.06 ,25128.33 ,570.76 ,538.42 
2004.12.31,,1266.50 ,895.92 ,26196.25 ,552.22 ,556.19 
2005.1.31,,1191.82 ,932.70 ,24352.94 ,575.74 ,575.93 
2005.2.28,,1306.00 ,1011.36 ,28139.13 ,635.38 ,589.24 
2005.3.31,,1181.24 ,965.68 ,26610.65 ,598.04 ,596.39 
2005.4.30,,1159.15 ,911.30 ,24843.70 ,593.88 ,576.73 
2005.5.31,,1060.74 ,970.21 ,25207.07 ,603.89 ,597.33 
2005.6.30,,1080.94 ,1008.16 ,25051.21 ,639.98 ,622.18 
2005.7.31,,1083.03 ,1111.29 ,26042.36 ,700.65 ,662.14 
2005.8.31,,1162.80 ,1083.33 ,28044.83 ,784.28 ,579.92 
2005.9.30,,1155.61 ,1221.01 ,31583.79 ,892.50 ,596.34 
2005.10.31,,1092.82 ,1158.11 ,30193.51 ,842.52 ,565.62 
2005.11.30,,1099.26 ,1297.44 ,31916.76 ,944.55 ,598.73 
2005.12.31,,1161.06 ,1379.37 ,33455.94 ,1011.00 ,639.23 
2006.1.31,,1258.05 ,1399.83 ,38382.80 ,1171.44 ,682.21 
2006.2.28,,1299.03 ,1371.59 ,38610.39 ,1320.83 ,670.14 
2006.3.31,,1298.30 ,1359.60 ,37951.97 ,1299.19 ,739.13 
2006.4.30,,1440.22 ,1419.73 ,40363.42 ,1486.85 ,810.29 
2006.5.31,,1641.30 ,1317.70 ,36530.04 ,1281.50 ,730.56 
2006.6.30,,1672.21 ,1295.15 ,36630.66 ,1331.39 ,726.39 
2006.7.31,,1612.73 ,1297.82 ,37077.12 ,1380.24 ,745.62 
2006.8.31,,1658.64 ,1352.74 ,36232.22 ,1448.72 ,794.32 
2006.9.30,,1752.42 ,1371.41 ,36449.40 ,1367.24 ,849.04 
2006.10.31,,1837.99 ,1364.55 ,39262.79 ,1426.86 ,860.97 
2006.11.30,,2099.29 ,1432.21 ,41931.84 ,1550.58 ,967.11 
2006.12.31,,2675.47 ,1434.46 ,44473.71 ,1693.47 ,991.05 
2007.1.31,,2786.34 ,1360.23 ,44641.60 ,1656.94 ,952.04 
2007.2.28,,2881.07 ,1417.34 ,43892.31 ,1655.25 ,911.84 
2007.3.31,,3183.98 ,1452.55 ,45804.66 ,1698.08 ,960.23 
2007.4.30,,3841.27 ,1542.24 ,48956.39 ,1697.28 ,1026.84 
2007.5.31,,4109.65 ,1700.91 ,52268.46 ,1570.34 ,1057.33 
2007.6.30,,3820.70 ,1743.60 ,54392.06 ,1665.96 ,1104.01 
2007.7.31,,4471.03 ,1933.27 ,54182.50 ,1734.42 ,1231.21 
2007.8.31,,5218.82 ,1873.24 ,54637.24 ,1677.02 ,1185.50 
2007.9.30,,5552.30 ,1946.48 ,60465.06 ,1759.44 ,1298.61 
2007.10.31,,5954.77 ,2064.85 ,65317.70 ,1874.73 ,1508.93 
2007.11.30,,4871.78 ,1906.00 ,63006.16 ,1850.64 ,1541.79 
2007.12.31,,5261.56 ,1897.13 ,63886.10 ,1888.86 ,1572.83 
2008.1.31,,4383.39 ,1624.68 ,59490.40 ,1574.33 ,1522.19 
2008.2.29,,4348.54 ,1711.62 ,63489.30 ,1660.42 ,1635.73 
2008.3.31,,3472.71 ,1703.99 ,60968.07 ,1628.43 ,1461.08 
2008.4.30,,3693.11 ,1825.47 ,67868.45 ,1667.35 ,1378.47 
2008.5.31,,3433.35 ,1852.02 ,72592.50 ,1925.24 ,1465.35 
2008.6.30,,2736.10 ,1674.92 ,65017.58 ,1753.67 ,1402.90 
2008.7.31,,2775.72 ,1594.67 ,59505.17 ,1495.33 ,1365.89 
2008.8.31,,2397.37 ,1474.24 ,55680.41 ,1348.92 ,1279.74 
2008.9.30,,2293.78 ,1448.06 ,49541.27 ,1027.66 ,1047.18 
2008.10.31,,1728.79 ,1113.06 ,37256.84 ,731.96 ,704.24 
2008.11.30,,1871.16 ,1076.07 ,36595.87 ,611.32 ,686.14 
2008.12.31,,1820.81 ,1124.47 ,37550.31 ,619.53 ,773.33 
2009.1.31,,1990.66 ,1162.11 ,39300.79 ,624.90 ,750.66 
2009.2.28,,2082.85 ,1063.03 ,38183.31 ,666.05 ,708.57 
